stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_354_274539,,"Rondo Kocmyrzowskie im. Ks. Gorzelanego","",50.080062,20.028408,,,0,,,
stop_354_274549,,"Rondo Kocmyrzowskie im. Ks. Gorzelanego","",50.079056,20.02806,,,0,,,
stop_361_282119,,"Łagiewniki ZUS","",50.024577,19.933922,,,0,,,
stop_361_282165,,"Łagiewniki ZUS","",50.024478,19.933942,,,0,,,
stop_386_285919,,"Teatr Variété","",50.058858,19.962529,,,0,,,
stop_386_285929,,"Teatr Variété","",50.058827,19.962374,,,0,,,
stop_424_287019,,"Dworzec Płaszów Estakada","",50.033556,19.977196,,,0,,,
stop_424_287029,,"Dworzec Płaszów Estakada","",50.033468,19.976946,,,0,,,
stop_425_287119,,"TAURON Arena Kraków Al. Pokoju (nż)","",50.064188,19.988978,,,0,,,
stop_425_287129,,"TAURON Arena Kraków Al. Pokoju (nż)","",50.064416,19.990077,,,0,,,
stop_568_303219,,"Stary Kleparz","",50.066314,19.939721,,,0,,,
stop_568_303229,,"Stary Kleparz","",50.066234,19.938562,,,0,,,
stop_568_303239,,"Stary Kleparz","",50.06666,19.93895,,,0,,,
stop_569_303319,,"Plaza","",50.063027,19.983996,,,0,,,
stop_569_303329,,"Plaza","",50.063038,19.983941,,,0,,,
stop_570_303619,,"Szpital Narutowicza","",50.080721,19.937819,,,0,,,
stop_570_303629,,"Szpital Narutowicza","",50.080649,19.937859,,,0,,,
stop_571_303719,,"Cienista","",50.08539,20.03852,,,0,,,
stop_571_303729,,"Cienista","",50.08492,20.03772,,,0,,,
stop_572_303819,,"Czerwone Maki P+R","",50.017988,19.889088,,,0,,,
stop_574_304029,,"TAURON Arena Kraków Wieczysta","",50.071103,19.982871,,,0,,,
stop_574_304039,,"TAURON Arena Kraków Wieczysta","",50.072108,19.985169,,,0,,,
stop_575_304119,,"Rondo 308. Dywizjonu","",50.067352,20.005379,,,0,,,
stop_575_304129,,"Rondo 308. Dywizjonu","",50.067398,20.005374,,,0,,,
stop_782_314119,,"Muzeum Narodowe","",50.059525,19.92554,,,0,,,
stop_782_314129,,"Muzeum Narodowe","",50.059326,19.924504,,,0,,,
stop_820_315819,,"Podgórze SKA","",50.042438,19.960723,,,0,,,
stop_820_315829,,"Podgórze SKA","",50.04184,19.961425,,,0,,,
stop_840_317519,,"Nowy Bieżanów P+R","",50.015608,20.023053,,,0,,,
stop_841_317619,,"Kurdwanów P+R","",50.013561,19.950409,,,0,,,
stop_852_324219,,"Teatr Słowackiego","",50.064609,19.945628,,,0,,,
stop_852_324229,,"Teatr Słowackiego","",50.064792,19.944409,,,0,,,
stop_852_324239,,"Teatr Słowackiego","",50.064192,19.94499,,,0,,,
stop_852_324249,,"Teatr Słowackiego","",50.065006,19.94518,,,0,,,
stop_952_331019,,"Mały Płaszów P+R","",50.040064,20.001498,,,0,,,
stop_957_333819,,"Rondo Grunwaldzkie","",50.048567,19.930917,,,0,,,
stop_957_333829,,"Rondo Grunwaldzkie","",50.048605,19.931155,,,0,,,
stop_1058_345919,,"Bronowice SKA","",50.081331,19.889698,,,0,,,
stop_1058_345929,,"Bronowice SKA","",50.081524,19.888593,,,0,,,
stop_1076_317419,,"Giedroycia (nż)","",50.06462,20.08447,,,0,,,
stop_1076_317429,,"Giedroycia (nż)","",50.06473,20.08479,,,0,,,
